BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;KVK-NUMMER
33944;Verenig. Het 's-Gravenh. Christel. Gymnas. Sorghvliet;Johan de Wittlaan;22;2517 JR;'S-GRAVENHAGE;0518;S GRAVENHAGE;Protestants-Christelijk;0703451577;www.gymnasium-sorghvliet.nl;Johan de Wittlaan;22;2517 JR;'S-GRAVENHAGE;034;40408702
35647;Stichting Carmelcollege;Drienerparkweg;16;7552 EB;HENGELO OV;0164;HENGELO;Rooms-Katholiek;0742455555;www.carmel.nl;Postbus;864;7550 AW;HENGELO OV;731;41027871
36921;Vereniging voor Christelijk VO te Harderwijk en omstreken;Stationslaan;26;3842 LA;HARDERWIJK;0243;HARDERWIJK;Protestants-Christelijk;0341436170;www.ccnv.nl;Postbus;29;3840 AA;HARDERWIJK; ;40094296
37052;Stichting Erasmus College;van Doornenplantsoen;21;2722 ZA;ZOETERMEER;0637;ZOETERMEER;Algemeen bijzonder;0793319204;www.erasmuscollege.nl;van Doornenplantsoen;31;2722 ZA;ZOETERMEER;156;41150726
40003;Stg. voor Voortg. Onderwijs op Interconfessionele Grondslag;Apollolaan;262;2324 BZ;LEIDEN;0546;LEIDEN;Samenwerking PC, RK;0715769243;www.vlietlandcollege.nl;Apollolaan;262;2324 BZ;LEIDEN;098;41165223
40075;Stg. v. Chr. Voortgez. Onderw. in Zuid-West Fryslân;Hemdijk;2;8601 XH;SNEEK;1900;SUDWEST-FRYSLAN;Protestants-Christelijk;0515482464;www.cvo-zwfryslan.nl;Postbus;175;8600 AD;SNEEK;836;40005051
40094;De Willibrord St. v. rk, pc en Int.conf. Voortg. Ond. Utr. e;Atoomweg;111;3542 AB;UTRECHT;0344;UTRECHT;Samenwerking PC, RK;0302723123;www.willibrord-stichting.nl;Postbus;9419;3506 GK;UTRECHT;674;30177360
40125;Stichting Dorenweerd College;Dalweg;5;6865 CZ;DOORWERTH;0274;RENKUM;Algemeen bijzonder;0263397030;www.dorenweerd.nl;Postbus;70;6865 ZH;DOORWERTH;953;41050908
40132;Stg. Christelijk Voortgezet Onderwijs Zuidoost-Utrecht;Graaf Adolflaan;4;3708 XB;ZEIST;0355;ZEIST;Protestants-Christelijk;0343489911;www.cvog.nl;Postbus;550;3700 AN;ZEIST; ;41265416
40143;Stg. Kath. Voortg. Onderwijs in het Dongemondgebied;Collegeweg;1;4942 VC;RAAMSDONKSVEER;0779;GEERTRUIDENBERG;Rooms-Katholiek;0162513469;www.dongemondcollege.nl;Postbus;124;4940 AC;RAAMSDONKSVEER; ;41100324
40180;Stichting Meerscholen;J.P. Sweelinckstraat;4;3816 PB;AMERSFOORT;0307;AMERSFOORT;Samenwerking PC, RK;0334613253;www.meerscholen.nl;Postbus;637;3800 AP;AMERSFOORT;706;41189899
40209;Stichting voor Christelijk Voortgezet Onderwijs;Jozef Israelslaan;56;3443 CT;WOERDEN;0632;WOERDEN;Protestants-Christelijk;0348417694;www.kalsbeek.nl;Postbus;145;3440 AC;WOERDEN;037;40482085
40232;Stg. Alg. Bijz. Voortg. Ond. Eindhoven;Celebeslaan;20;5641 AG;EINDHOVEN;0772;EINDHOVEN;Algemeen bijzonder;0402909420;www.lcl.nl;Celebeslaan;20;5641 AG;EINDHOVEN; ;41092817
40278;Stichting Delta Onderwijs;Meerpaal;5;4904 SK;OOSTERHOUT NB;0826;OOSTERHOUT;Rooms-Katholiek;0162424551;www.delta-onderwijs.nl;Postbus;4318;4900 CH;OOSTERHOUT NB;955;41105843
