BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
40336;25CV;25CV02;Bornego College VMBO;HEERENVEEN;74;HEERENVEEN;Friesland;152;3;155
40336;25CV;25CV03;Bornego College vst.  Joure;JOURE;1940;DE FRYSKE MARREN;Friesland;233;0;233
40336;25CV;25CV05;Bornego College;HEERENVEEN;74;HEERENVEEN;Friesland;147;0;147
40348;02DO;02DO00;PC SGM Het Noordik;ALMELO;141;ALMELO;Overijssel;1332;11;1343
40348;02DO;02DO01;PC SGM Het Noordik;ALMELO;141;ALMELO;Overijssel;340;0;340
40348;02DO;02DO02;PC SGM Het Noordik;VRIEZENVEEN;1700;TWENTERAND;Overijssel;485;0;485
40348;02DO;02DO03;PC SGM Het Noordik;VROOMSHOOP;1700;TWENTERAND;Overijssel;459;0;459
40356;08VU;08VU00;Chr SGM Willem v Oranje;OUD-BEIJERLAND;1963;HOEKSCHE WAARD;Zuid-Holland;907;12;919
40356;08VU;08VU02;Chr SGM Willem v Oranje;OUD-BEIJERLAND;1963;HOEKSCHE WAARD;Zuid-Holland;395;0;395
40357;00YO;00YO00;Prot Chr Mavo Waldheim;BAARN;308;BAARN;Utrecht;420;0;420
40357;01NZ;01NZ00;Griftland College;SOEST;342;SOEST;Utrecht;1378;12;1390
40365;02VJ;02VJ00;Ubbo Emmius;STADSKANAAL;37;STADSKANAAL;Groningen;762;1;763
40365;02VJ;02VJ03;Ubbo Emmius Lyceum;STADSKANAAL;37;STADSKANAAL;Groningen;461;0;461
40365;02VJ;02VJ06;Ubbo Emmius;ONSTWEDDE;37;STADSKANAAL;Groningen;232;0;232
40365;02VJ;02VJ07;Ubbo Emmius;STADSKANAAL;37;STADSKANAAL;Groningen;261;0;261
40365;02VJ;02VJ08;Ubbo Emmius;STADSKANAAL;37;STADSKANAAL;Groningen;283;1;284
40365;18UZ;18UZ00;PrO Stadskanaal;STADSKANAAL;37;STADSKANAAL;Groningen;176;0;176
40365;19UR;19UR00;PrO Winschoten;WINSCHOTEN;1895;OLDAMBT;Groningen;138;0;138
40365;20CM;20CM00;Dollard College;WINSCHOTEN;1895;OLDAMBT;Groningen;915;6;921
40365;20CM;20CM01;Dollard College;OUDE PEKELA;765;PEKELA;Groningen;285;0;285
40365;20CM;20CM03;Dollard College;BELLINGWOLDE;1950;WESTERWOLDE;Groningen;173;0;173
40365;20CM;20CM07;Dollard College;WOLDENDORP;1979;EEMSDELTA;Groningen;341;0;341
40365;20CM;20CM08;Dollard College;WINSCHOTEN;1895;OLDAMBT;Groningen;397;0;397
40365;20CM;20CM09;Dollard College;WINSCHOTEN;1895;OLDAMBT;Groningen;582;3;585
40365;20CM;20CM10;Dollard College;WINSCHOTEN;1895;OLDAMBT;Groningen;12;0;12
40375;00RZ;00RZ00;Montessori College;NIJMEGEN;268;NIJMEGEN;Gelderland;1127;9;1136
40375;00RZ;00RZ01;Montessori College;GROESBEEK;1945;BERG EN DAL;Gelderland;244;0;244
40375;00RZ;00RZ07;Montessori College;NIJMEGEN;268;NIJMEGEN;Gelderland;574;0;574
40377;20BC;20BC00;Oranje Nassau College;ZOETERMEER;637;ZOETERMEER;Zuid-Holland;1870;1;1871
40377;20BC;20BC01;Oranje Nassau College;ZOETERMEER;637;ZOETERMEER;Zuid-Holland;1373;0;1373
40505;00TL;00TL00;Het Nieuwe Lyceum;BILTHOVEN;310;DE BILT;Utrecht;1188;0;1188
40517;15IS;15IS00;Het Kwadrant Prakt Ond;BERGEN OP ZOOM;748;BERGEN OP ZOOM;Noord-Brabant;233;0;233
40530;04DF;04DF00;Ashram College;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Zuid-Holland;753;2;755
40530;04DF;04DF01;Ashram College;NIEUWKOOP;569;NIEUWKOOP;Zuid-Holland;321;0;321
40530;15BH;15BH00;Chr Sgm Groene Hart;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Zuid-Holland;753;0;753
40530;15BH;15BH01;Chr Sgm Groene Hart Lyceum;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Zuid-Holland;1570;2;1572
40530;15BH;15BH04;Groene Hart Rijnwoude;HAZERSWOUDE-DORP;484;ALPHEN AAN DEN RIJN;Zuid-Holland;330;0;330
40530;15BH;15BH05;Groene Hart Topmavo;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Zuid-Holland;768;1;769
